Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
Red Lake Indian Reservation (Minn.),,[151],651,Red Lake Indian Reservation (Minn.)
Red Paint culture,,[150],650,Red Paint culture
Red Pheasant (First Nation),,[151],651,Red Pheasant (First Nation)
Red Power movement,,[150],650,Red Power movement
"Red River Rebellion, 1869-1870",,[150],650,"Red River Rebellion, 1869-1870"
"Red River War, 1874-1875",,[150],650,"Red River War, 1874-1875"
Red Rock (First Nation),,[151],651,Red Rock (First Nation)
Red Sky Métis Independent Nation,,[151],651,Red Sky Métis Independent Nation
Red Sucker Lake (First Nation),,[151],651,Red Sucker Lake (First Nation)
"Redding Rancheria, California",,[151],651,"Redding Rancheria, California"
Redface,,[150],650,Redface
Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California,,[151],651,Redwood Valley or Little River Band of Pomo Indians of the Redwood Valley Rancheria California
Redwood Valley Rancheria of Pomo Indians of California,,[151],651,Redwood Valley Rancheria of Pomo Indians of California
"Reford Gardens (Grand-Métis, Québec)",,[151],651,"Reford Gardens (Grand-Métis, Québec)"
"Religious drama, Nahuatl",,[150],650,"Religious drama, Nahuatl"
"Religious poetry, Indian",,[150],650,"Religious poetry, Indian"
Rench Site (Ill.),,[151],651,Rench Site (Ill.)
"Reno-Sparks Indian Colony, Nevada",,[151],651,"Reno-Sparks Indian Colony, Nevada"
Reserva de Dourados (Brazil),,[151],651,Reserva de Dourados (Brazil)
Reserva Indígena de Pilquiniyeu del Limay (Argentina),,[151],651,Reserva Indígena de Pilquiniyeu del Limay (Argentina)
Reserva Indígena do Guarita (Brazil),,[151],651,Reserva Indígena do Guarita (Brazil)
Reserva Kugapakori Nahua (Peru),,[151],651,Reserva Kugapakori Nahua (Peru)
Reservation Indians,,[150],650,Reservation Indians
Resigero language,,[150],650,Resigero language
"Resighini Rancheria, California",,[151],651,"Resighini Rancheria, California"
Resolute (Nunavut),,[151],651,Resolute (Nunavut)
Resolute Bay (Inuit community),,[151],651,Resolute Bay (Inuit community)
"Restigouche, Battle of the, Canada, 1760",,[150],650,"Restigouche, Battle of the, Canada, 1760"
"Rhode Island—History—French and Indian War, 1754-1763",y,[151],651,"Rhode Island ǂx History ǂy French and Indian War, 1754-1763"
"Riddles, Aztec",,[150],650,"Riddles, Aztec"
"Riddles, Maya",,[150],650,"Riddles, Maya"
"Riel Rebellion, 1885",,[150],650,"Riel Rebellion, 1885"
Rigolet (Inuit community),,[151],651,Rigolet (Inuit community)
Rikbaktsa Indians,,[150],650,Rikbaktsa Indians
Rikbaktsa language,,[150],650,Rikbaktsa language
"Rincon Band of Luiseño Mission Indians of the Rincon Reservation, California",,[151],651,"Rincon Band of Luiseño Mission Indians of the Rincon Reservation, California"
Rivière la Seine Band,,[151],651,Rivière la Seine Band
Roanoak language,,[150],650,Roanoak language
Robinson Rancheria,,[151],651,Robinson Rancheria
"Robinson Rancheria Band of Pomo Indians, California",,[151],651,"Robinson Rancheria Band of Pomo Indians, California"
Robinson Rancheria of Pomo Indians of California,,[151],651,Robinson Rancheria of Pomo Indians of California
Rocky Bay First Nation,,[151],651,Rocky Bay First Nation
Rocky Boy's Reservation (Mont.),,[151],651,Rocky Boy's Reservation (Mont.)
"Rogers' Raid, Québec, 1759",,[150],650,"Rogers' Raid, Québec, 1759"
"Rogue River Indian War, 1855-1856",,[150],650,"Rogue River Indian War, 1855-1856"
Rolling River (First Nation),,[151],651,Rolling River (First Nation)
Roseau River Anishinabe First Nation Government,,[151],651,Roseau River Anishinabe First Nation Government
Rosebud Indian Reservation (S.D.),,[151],651,Rosebud Indian Reservation (S.D.)
"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",,[151],651,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota"
Ross River (First Nation),,[151],651,Ross River (First Nation)
Round Valley Indian Reservation (Calif.),,[151],651,Round Valley Indian Reservation (Calif.)
"Round Valley Indian Tribes of the Round Valley Reservation, California",,[151],651,"Round Valley Indian Tribes of the Round Valley Reservation, California"
"Round Valley Indian Tribes, Round Valley Reservation, California",,[151],651,"Round Valley Indian Tribes, Round Valley Reservation, California"
"Royalton (Vt.)—History—Burning by the British and Indians, 1780",y,[151],651,"Royalton (Vt.) ǂx History ǂy Burning by the British and Indians, 1780"
Rumsey Indian Rancheria of Wintun Indians of California,,[151],651,Rumsey Indian Rancheria of Wintun Indians of California
"Rush Creek, Battle of, Neb., 1865",,[150],650,"Rush Creek, Battle of, Neb., 1865"
Russia (Federation)—Civilization—Indian influences,y,[151],651,Russia (Federation) ǂx Civilization ǂx Indian influences
Russian language—Influence on Eskimo,y,[150],650,Russian language ǂx Influence on Eskimo
Saanich dialect,,[150],650,Saanich dialect
Saatut Site (Nunavut),,[151],651,Saatut Site (Nunavut)
Sabela language,,[150],650,Sabela language
Sac & Fox Nation of Missouri in Kansas and Nebraska,,[151],651,Sac & Fox Nation of Missouri in Kansas and Nebraska
"Sac & Fox Nation, Oklahoma",,[151],651,"Sac & Fox Nation, Oklahoma"
Sac & Fox Tribe of the Mississippi in Iowa,,[151],651,Sac & Fox Tribe of the Mississippi in Iowa
Sac and Fox Indian Reservation (Kan. and Neb.),,[151],651,Sac and Fox Indian Reservation (Kan. and Neb.)
Sac and Fox Indian Reservation (Okla.),,[151],651,Sac and Fox Indian Reservation (Okla.)
Sac and Fox Reservation (Iowa),,[151],651,Sac and Fox Reservation (Iowa)
Sac and Fox Tribe of Missouri,,[151],651,Sac and Fox Tribe of Missouri
Sac Nation of Indians,,[151],651,Sac Nation of Indians
Sachigo Lake (First Nation),,[151],651,Sachigo Lake (First Nation)
Sachs Harbour (Inuit community),,[151],651,Sachs Harbour (Inuit community)
Saclan Indians,,[150],650,Saclan Indians
Saconnet Band,,[151],651,Saconnet Band
Sacred Pole (Omaha rite),,[150],650,Sacred Pole (Omaha rite)
Saddle Lake Cree Nation,,[151],651,Saddle Lake Cree Nation
Sagamok Anishnawbek,,[151],651,Sagamok Anishnawbek
Sagamok Indian Reserve (Ont.),,[151],651,Sagamok Indian Reserve (Ont.)
Saginaw Chippewa Indian Tribe of Michigan,,[151],651,Saginaw Chippewa Indian Tribe of Michigan
Saik'uz First Nation,,[151],651,Saik'uz First Nation
Saint Croix Reservation (Wis.),,[151],651,Saint Croix Reservation (Wis.)
Saint Mary's (First Nation : New Brunswick),,[151],651,Saint Mary's (First Nation : New Brunswick)
Saint Regis Mohawk Indian Reservation (N.Y.),,[151],651,Saint Regis Mohawk Indian Reservation (N.Y.)
Saint Regis Mohawk Tribe,,[151],651,Saint Regis Mohawk Tribe
"Saint Regis Mohawk Tribe, New York",,[151],651,"Saint Regis Mohawk Tribe, New York"
"Saint Vincent—History—Carib War, 1795-1796",y,[151],651,"Saint Vincent ǂx History ǂy Carib War, 1795-1796"
"Sainte-Foy, Battle of, Québec, Québec, 1760",,[150],650,"Sainte-Foy, Battle of, Québec, Québec, 1760"
Sakapulteko Indians,,[150],650,Sakapulteko Indians
Sakimay First Nations,,[151],651,Sakimay First Nations
Sakirabiá Indians,,[150],650,Sakirabiá Indians
Sakirabiá language,,[150],650,Sakirabiá language
Sakirabiá mythology,,[150],650,Sakirabiá mythology
Sakonnet Indians,,[150],650,Sakonnet Indians
Salado culture,,[150],650,Salado culture
Saladoid culture,,[150],650,Saladoid culture
Salinan Indians,,[150],650,Salinan Indians
Salinan language,,[150],650,Salinan language
Salineros Indians,,[150],650,Salineros Indians
Salish baskets,,[150],650,Salish baskets
Salish dance,,[150],650,Salish dance
Salish Indians,,[150],650,Salish Indians
Salish language,,[150],650,Salish language
Salish textile fabrics,,[150],650,Salish textile fabrics
Salishan beadwork,,[150],650,Salishan beadwork
Salishan Indians,,[150],650,Salishan Indians
Salishan languages,,[150],650,Salishan languages
Salishan mythology,,[150],650,Salishan mythology
Salishan sculpture,,[150],650,Salishan sculpture
Salishan women,,[150],650,Salishan women
Saliva Indians,,[150],650,Saliva Indians
Saliva language,,[150],650,Saliva language
Salluit (Inuit community),,[151],651,Salluit (Inuit community)
Salt River First Nation #195,,[151],651,Salt River First Nation #195
Salt River Indian Reservation (Ariz.),,[151],651,Salt River Indian Reservation (Ariz.)
"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",,[151],651,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona"
Saluma Indians,,[150],650,Saluma Indians
Samahquam (First Nation),,[151],651,Samahquam (First Nation)
Sambaa K'e (Trout Lake) Dene (First Nation),,[151],651,Sambaa K'e (Trout Lake) Dene (First Nation)
Sambaa K'e First Nation,,[151],651,Sambaa K'e First Nation
Samish dialect,,[150],650,Samish dialect
Samish Indian Nation,,[151],651,Samish Indian Nation
"Samish Indian Tribe, Washington",,[151],651,"Samish Indian Tribe, Washington"
Samish Indians,,[150],650,Samish Indians
Samson Cree First Nation,,[151],651,Samson Cree First Nation
San Agustín culture (Colombia),,[150],650,San Agustín culture (Colombia)
"San Carlos Apache Tribe of the San Carlos Reservation, Arizona",,[151],651,"San Carlos Apache Tribe of the San Carlos Reservation, Arizona"
San Carlos Indian Reservation (Ariz.),,[151],651,San Carlos Indian Reservation (Ariz.)
San Dieguito culture,,[150],650,San Dieguito culture
San Felipe Pueblo (N.M.),,[151],651,San Felipe Pueblo (N.M.)
San Ildefonso Pueblo (N.M.),,[151],651,San Ildefonso Pueblo (N.M.)
San Juan Southern Paiute Tribe of Arizona,,[151],651,San Juan Southern Paiute Tribe of Arizona
"San Manual Band of Serrano Mission Indians of the San Manual Reservation, California",,[151],651,"San Manual Band of Serrano Mission Indians of the San Manual Reservation, California"
"San Manuel Band of Mission Indians, California",,[151],651,"San Manuel Band of Mission Indians, California"
San Pasqual Band of Diegueño Mission Indians of California,,[151],651,San Pasqual Band of Diegueño Mission Indians of California
San Patrice points,,[150],650,San Patrice points
San Xavier Indian Reservation (Ariz.),,[151],651,San Xavier Indian Reservation (Ariz.)
Sanapaná Indians,,[150],650,Sanapaná Indians
Sanapaná language,,[150],650,Sanapaná language
Sanapaná mythology,,[150],650,Sanapaná mythology
Sanavirona Indians,,[150],650,Sanavirona Indians
"Sand Creek Massacre, Colo., 1864",,[150],650,"Sand Creek Massacre, Colo., 1864"
Sand Point First Nation,,[151],651,Sand Point First Nation
Sandy Bay 5 (Man.),,[151],651,Sandy Bay 5 (Man.)
Sandy Bay Ojibway First Nation,,[151],651,Sandy Bay Ojibway First Nation
Sandy Lake (First Nation),,[151],651,Sandy Lake (First Nation)
Sanikiluaq (Inuit community),,[151],651,Sanikiluaq (Inuit community)
Sanpoil Indians,,[150],650,Sanpoil Indians
Sanpoil mythology,,[150],650,Sanpoil mythology
Sans Arc Indians,,[150],650,Sans Arc Indians
Santa Ana Pueblo (N.M.),,[151],651,Santa Ana Pueblo (N.M.)
"Santa Rosa Band of Cahuilla Indians, California",,[151],651,"Santa Rosa Band of Cahuilla Indians, California"
"Santa Rosa Band of Cahuilla Mission Indians of the Santa Rosa Reservation, California",,[151],651,"Santa Rosa Band of Cahuilla Mission Indians of the Santa Rosa Reservation, California"
"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",,[151],651,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California"
"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",,[151],651,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California"
Santa Ysabel Band of Diegueno Mission Indians of the Santa Ysabel Reservation,,[151],651,Santa Ysabel Band of Diegueno Mission Indians of the Santa Ysabel Reservation
Santa Ysabel Indian Reservation (Calif.),,[151],651,Santa Ysabel Indian Reservation (Calif.)
Santee children,,[150],650,Santee children
Santee dialect,,[150],650,Santee dialect
Santee Indian Reservation (Neb.),,[151],651,Santee Indian Reservation (Neb.)
Santee Indians,,[150],650,Santee Indians
Santee mythology,,[150],650,Santee mythology
"Santee Sioux Nation, Nebraska",,[151],651,"Santee Sioux Nation, Nebraska"
Santee Sioux Tribe,,[151],651,Santee Sioux Tribe
Santee Sioux Tribe of the Santee Reservation of Nebraska,,[151],651,Santee Sioux Tribe of the Santee Reservation of Nebraska
Santiam Indians,,[150],650,Santiam Indians
Saone Indians,,[150],650,Saone Indians
Saponi Indians,,[150],650,Saponi Indians
Sapotaweyak Cree Nation,,[151],651,Sapotaweyak Cree Nation
"Sappa Creek, Battle of, Kan., 1875",,[150],650,"Sappa Creek, Battle of, Kan., 1875"
Sapuya Indians,,[150],650,Sapuya Indians
Saqqaq culture,,[150],650,Saqqaq culture
Saraguro Indians,,[150],650,Saraguro Indians
Sarsi dance,,[150],650,Sarsi dance
Sarsi Indians,,[150],650,Sarsi Indians
Sarsi language,,[150],650,Sarsi language
Saugeen First Nation,,[151],651,Saugeen First Nation
Sauk Indians (Algonquian),,[150],650,Sauk Indians (Algonquian)
Sauk Nation,,[151],651,Sauk Nation
Sauk-Suiattle Indian Tribe of Washington,,[151],651,Sauk-Suiattle Indian Tribe of Washington
Sauk-Suiattle Indians,,[150],650,Sauk-Suiattle Indians
Sault Ste. Marie Tribe of Chippewa Indians of Michigan,,[151],651,Sault Ste. Marie Tribe of Chippewa Indians of Michigan
Saulteau First Nations,,[151],651,Saulteau First Nations
Saulteaux First Nation,,[151],651,Saulteaux First Nation
Sawridge First Nation,,[151],651,Sawridge First Nation
Sayisi Dene First Nation,,[151],651,Sayisi Dene First Nation
Saynday (Legendary character),,[150],650,Saynday (Legendary character)
Scaticook Indians,,[150],650,Scaticook Indians
Scotts Valley Band of Pomo Indians of California,,[151],651,Scotts Valley Band of Pomo Indians of California
Scottsbluff points,,[150],650,Scottsbluff points
Scowlitz (First Nation),,[151],651,Scowlitz (First Nation)
Seabird Island (First Nation),,[151],651,Seabird Island (First Nation)
Sechelt Indians,,[150],650,Sechelt Indians
Sechelt language,,[150],650,Sechelt language
Sechelt Nation,,[151],651,Sechelt Nation
Secoya cosmology,,[150],650,Secoya cosmology
Secoya Indians,,[150],650,Secoya Indians
Secoya language,,[150],650,Secoya language
Secoya mythology,,[150],650,Secoya mythology
Sedna (Goddess),,[150],650,Sedna (Goddess)
Seine River First Nation,,[151],651,Seine River First Nation
Sekani Indians,,[150],650,Sekani Indians
Sekani language,,[150],650,Sekani language
Seldovia Village Tribe,,[151],651,Seldovia Village Tribe
Selkirk First Nation,,[151],651,Selkirk First Nation
Semiahmoo (First Nation),,[151],651,Semiahmoo (First Nation)
Seminole art,,[150],650,Seminole art
Seminole baskets,,[150],650,Seminole baskets
Seminole cooking,,[150],650,Seminole cooking
Seminole Indians,,[150],650,Seminole Indians
Seminole language,,[150],650,Seminole language
Seminole mythology,,[150],650,Seminole mythology
Seminole Nation,,[151],651,Seminole Nation
Seminole Nation of Oklahoma,,[151],651,Seminole Nation of Oklahoma
Seminole textile fabrics,,[150],650,Seminole textile fabrics
Seminole Tribe of Florida,,[151],651,Seminole Tribe of Florida
"Seminole Tribe of Florida, Dania, Big Cypress, Brighton, Hollywood & Tampa Reservations",,[151],651,"Seminole Tribe of Florida, Dania, Big Cypress, Brighton, Hollywood & Tampa Reservations"
"Seminole War, 1st, 1817-1818",,[150],650,"Seminole War, 1st, 1817-1818"
"Seminole War, 2nd, 1835-1842",,[150],650,"Seminole War, 2nd, 1835-1842"
"Seminole War, 3rd, 1855-1858",,[150],650,"Seminole War, 3rd, 1855-1858"
Seminole women,,[150],650,Seminole women
Seneca art,,[150],650,Seneca art
Seneca baskets,,[150],650,Seneca baskets
Seneca beadwork,,[150],650,Seneca beadwork
Seneca Indians,,[150],650,Seneca Indians
Seneca language,,[150],650,Seneca language
Seneca masks,,[150],650,Seneca masks
Seneca mythology,,[150],650,Seneca mythology
Seneca Nation of Indians,,[151],651,Seneca Nation of Indians
Seneca Nation of New York,,[151],651,Seneca Nation of New York
Seneca-Cayuga Nation,,[151],651,Seneca-Cayuga Nation
Seneca-Cayuga Tribe of Oklahoma,,[151],651,Seneca-Cayuga Tribe of Oklahoma
Senecas of Sandusky and Stony Creek,,[151],651,Senecas of Sandusky and Stony Creek
Senewélets Site (B.C.),,[151],651,Senewélets Site (B.C.)
Senijextee Indians,,[150],650,Senijextee Indians
Seri Indians,,[150],650,Seri Indians
Seri language,,[150],650,Seri language
Serpent River First Nation,,[151],651,Serpent River First Nation
Serrano Indians,,[150],650,Serrano Indians
Serrano language,,[150],650,Serrano language
Seton Lake (First Nation),,[151],651,Seton Lake (First Nation)
"Seven Reductions, War of the, 1754-1756",,[150],650,"Seven Reductions, War of the, 1754-1756"
Sewee Indians,,[150],650,Sewee Indians
Shabik Eshchee Site (N.M.),,[151],651,Shabik Eshchee Site (N.M.)
Shackan (First Nation),,[151],651,Shackan (First Nation)
Shageluk Native Village,,[151],651,Shageluk Native Village
Shahaptian beadwork,,[150],650,Shahaptian beadwork
Shahaptian Indians,,[150],650,Shahaptian Indians
Shahaptian languages,,[150],650,Shahaptian languages
Shakopee Mdewakanton Sioux Community of Minnesota,,[151],651,Shakopee Mdewakanton Sioux Community of Minnesota
Shamans in art,,[150],650,Shamans in art
Shamattawa First Nation,,[151],651,Shamattawa First Nation
Shapra Indians,,[150],650,Shapra Indians
Sharanahua Indians,,[150],650,Sharanahua Indians
Sharanahua language,,[150],650,Sharanahua language
Shasta Indians,,[150],650,Shasta Indians
Shasta language,,[150],650,Shasta language
Shastan Indians,,[150],650,Shastan Indians
Shastan languages,,[150],650,Shastan languages
Shawanaga First Nation,,[151],651,Shawanaga First Nation
Shawi cosmology,,[150],650,Shawi cosmology
Shawi Indians,,[150],650,Shawi Indians
Shawi language,,[150],650,Shawi language
Shawi mythology,,[150],650,Shawi mythology
Shawi women,,[150],650,Shawi women
Shawnee Indians,,[150],650,Shawnee Indians
Shawnee language,,[150],650,Shawnee language
Shawnee Nation,,[151],651,Shawnee Nation
"Shawnee Tribe, Oklahoma",,[151],651,"Shawnee Tribe, Oklahoma"
Sheep Ranch Rancheria of Me-Wuk Indians of California,,[151],651,Sheep Ranch Rancheria of Me-Wuk Indians of California
Sheguiandah (First Nation),,[151],651,Sheguiandah (First Nation)
Sheldon Point (Alaska),,[151],651,Sheldon Point (Alaska)
Sherente Indians,,[150],650,Sherente Indians
Sherwood Valley Rancheria of Pomo Indians of California,,[151],651,Sherwood Valley Rancheria of Pomo Indians of California
Sheshatshiu Innu First Nation,,[151],651,Sheshatshiu Innu First Nation
Sheshegwaning (First Nation),,[151],651,Sheshegwaning (First Nation)
Shiloh Indian Mounds National Historic Landmark (Tenn.),,[151],651,Shiloh Indian Mounds National Historic Landmark (Tenn.)
"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",,[151],651,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California"
Shinnecock Indian Nation,,[151],651,Shinnecock Indian Nation
Shinnecock Indians,,[150],650,Shinnecock Indians
Shinnecock Reservation (N.Y.),,[151],651,Shinnecock Reservation (N.Y.)
Shipibo-Conibo Indians,,[150],650,Shipibo-Conibo Indians
Shipibo-Conibo language,,[150],650,Shipibo-Conibo language
Shipibo-Conibo mythology,,[150],650,Shipibo-Conibo mythology
Shiriana Indians,,[150],650,Shiriana Indians
Shivwits Band of Paiute Indians,,[151],651,Shivwits Band of Paiute Indians
Shivwits Reservation (Utah),,[151],651,Shivwits Reservation (Utah)
Shoal Lake Cree Nation,,[151],651,Shoal Lake Cree Nation
Shoal Lake No. 40,,[151],651,Shoal Lake No. 40
Shoalwater Bay Indian Reservation (Wash.),,[151],651,Shoalwater Bay Indian Reservation (Wash.)
Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation,,[151],651,Shoalwater Bay Indian Tribe of the Shoalwater Bay Indian Reservation
"Shoalwater Bay Tribe of the Shoalwater Bay Indian Reservation, Washington",,[151],651,"Shoalwater Bay Tribe of the Shoalwater Bay Indian Reservation, Washington"
Shobhan Paul Site (Calif.),,[151],651,Shobhan Paul Site (Calif.)
Shocó Indians,,[150],650,Shocó Indians
Shokleng art,,[150],650,Shokleng art
Shokleng Indians,,[150],650,Shokleng Indians
Shoonaq' Tribe of Kodiak,,[151],651,Shoonaq' Tribe of Kodiak
"Short stories, Mayan",,[150],650,"Short stories, Mayan"
"Shoshone Tribe of the Wind River Reservation, Wyoming",,[151],651,"Shoshone Tribe of the Wind River Reservation, Wyoming"
Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,,[151],651,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho
"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",,[151],651,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada"
Shoshonean Indians,,[150],650,Shoshonean Indians
Shoshonean languages,,[150],650,Shoshonean languages
Shoshoni baskets,,[150],650,Shoshoni baskets
Shoshoni dance,,[150],650,Shoshoni dance
Shoshoni Indians,,[150],650,Shoshoni Indians
Shoshoni language,,[150],650,Shoshoni language
Shoshoni mythology,,[150],650,Shoshoni mythology
Shoshoni pottery,,[150],650,Shoshoni pottery
Shoshoni women,,[150],650,Shoshoni women
Shoshoni-Gosiute Bands of Indians,,[151],651,Shoshoni-Gosiute Bands of Indians
Shoto Indians,,[150],650,Shoto Indians
Shuar architecture,,[150],650,Shuar architecture
Shuar dance,,[150],650,Shuar dance
Shuar Indians,,[150],650,Shuar Indians
Shuar language,,[150],650,Shuar language
Shuar mythology,,[150],650,Shuar mythology
Shuar philosophy,,[150],650,Shuar philosophy
Shubenacadie First Nation,,[151],651,Shubenacadie First Nation
Shuswap Indians,,[150],650,Shuswap Indians
Shuswap language,,[150],650,Shuswap language
Shuswap Nation,,[151],651,Shuswap Nation
Shxw'ōwhámel First Nation,,[151],651,Shxw'ōwhámel First Nation
Shxwhá:y Village (First Nation),,[151],651,Shxwhá:y Village (First Nation)
"Sibley Expedition, 1863",,[150],650,"Sibley Expedition, 1863"
Sicán culture,,[150],650,Sicán culture
Sicuane dialect,,[150],650,Sicuane dialect
Sicuane Indians,,[150],650,Sicuane Indians
Sicuane mythology,,[150],650,Sicuane mythology
"Sideling Hill, Battle of, Pa., 1756",,[150],650,"Sideling Hill, Battle of, Pa., 1756"
Sihasapa Indians,,[150],650,Sihasapa Indians
Siksika art,,[150],650,Siksika art
Siksika dance,,[150],650,Siksika dance
Siksika Indians,,[150],650,Siksika Indians
Siksika Indians in art,,[150],650,Siksika Indians in art
Siksika language,,[150],650,Siksika language
Siksika mythology,,[150],650,Siksika mythology
Siksika Nation,,[151],651,Siksika Nation
Siksika sculpture,,[150],650,Siksika sculpture
Siksika women,,[150],650,Siksika women
Siletz baskets,,[150],650,Siletz baskets
Siletz Indian Reservation (Or.),,[151],651,Siletz Indian Reservation (Or.)
Siletz Indians,,[150],650,Siletz Indians
Simpcw First Nation,,[151],651,Simpcw First Nation
Sinagua culture,,[150],650,Sinagua culture
Sinixt Indians,,[150],650,Sinixt Indians
Sinixt Nation,,[151],651,Sinixt Nation
Sinkiuse-Columbia Indians,,[150],650,Sinkiuse-Columbia Indians
Sinkyone Indians,,[150],650,Sinkyone Indians
Sioni Indians,,[150],650,Sioni Indians
Sioni language,,[150],650,Sioni language
Siouan Indians,,[150],650,Siouan Indians
Siouan languages,,[150],650,Siouan languages
Siouan women,,[150],650,Siouan women
Sioux Nation,,[151],651,Sioux Nation
Sioux of the Lakes,,[151],651,Sioux of the Lakes
Sioux Valley Dakota Nation,,[151],651,Sioux Valley Dakota Nation
Sipakapense Indians,,[150],650,Sipakapense Indians
Sipakapense language,,[150],650,Sipakapense language
Sipekne'katik (First Nation),,[151],651,Sipekne'katik (First Nation)
Siriano language,,[150],650,Siriano language
Sirinek language,,[150],650,Sirinek language
Siriono Indians,,[150],650,Siriono Indians
Siska (First Nation),,[151],651,Siska (First Nation)
Sisseton Band of Sioux Indians,,[151],651,Sisseton Band of Sioux Indians
Sisseton Indians,,[150],650,Sisseton Indians
"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",,[151],651,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota"
Sisseton-Wahpeton Sioux Tribe of the Lake Traverse Reservation,,[151],651,Sisseton-Wahpeton Sioux Tribe of the Lake Traverse Reservation
Sitka Tribe of Alaska,,[151],651,Sitka Tribe of Alaska
Siuslaw Indians,,[150],650,Siuslaw Indians
Siuslaw language,,[150],650,Siuslaw language
Siwanoy Indians,,[150],650,Siwanoy Indians
Six Nations Indian Reserve No. 40 (Ont.),,[151],651,Six Nations Indian Reserve No. 40 (Ont.)
Six Nations of the Grand River,,[151],651,Six Nations of the Grand River
"Sixties Scoop, Canada, 1951-ca. 1980",,[150],650,"Sixties Scoop, Canada, 1951-ca. 1980"
Sĭyotanka (Musical instrument),,[150],650,Sĭyotanka (Musical instrument)
Skagit Indians,,[150],650,Skagit Indians
Skagway Village,,[151],651,Skagway Village
Skatin Nations,,[151],651,Skatin Nations
Skawahlook First Nation,,[151],651,Skawahlook First Nation
Skeetchestn (First Nation),,[151],651,Skeetchestn (First Nation)
Skidegate (First Nation),,[151],651,Skidegate (First Nation)
Skilloot Indians,,[150],650,Skilloot Indians
Skokomish baskets,,[150],650,Skokomish baskets
Skokomish Indian Reservation (Wash.),,[151],651,Skokomish Indian Reservation (Wash.)
Skokomish Indian Tribe,,[151],651,Skokomish Indian Tribe
"Skokomish Indian Tribe of the Skokomish Reservation, Washington",,[151],651,"Skokomish Indian Tribe of the Skokomish Reservation, Washington"
Skokomish Indians,,[150],650,Skokomish Indians
Skowkale (First Nation),,[151],651,Skowkale (First Nation)
Skownan First Nation,,[151],651,Skownan First Nation
Skull Valley Band of Goshute Indians of Utah,,[151],651,Skull Valley Band of Goshute Indians of Utah
Skull Valley Reservation (Utah),,[151],651,Skull Valley Reservation (Utah)
Skullyville County (Indian Territory),,[151],651,Skullyville County (Indian Territory)
Skuppah (First Nation),,[151],651,Skuppah (First Nation)
Skwah (First Nation),,[151],651,Skwah (First Nation)
Skyn Tyee (First Nation),,[151],651,Skyn Tyee (First Nation)
Slate Falls Nation,,[151],651,Slate Falls Nation
Slavey Indians,,[150],650,Slavey Indians
Slavey language,,[150],650,Slavey language
Slavey mythology,,[150],650,Slavey mythology
Sliammon First Nation,,[151],651,Sliammon First Nation
"Smith River Rancheria, California",,[151],651,"Smith River Rancheria, California"
Smith's Landing First Nation,,[151],651,Smith's Landing First Nation
Smudging (Indian rite),,[150],650,Smudging (Indian rite)
Snake Butte Reservoir Dam (Mont.),,[151],651,Snake Butte Reservoir Dam (Mont.)
Snake dance,,[150],650,Snake dance
"Snake War, 1864-1868",,[150],650,"Snake War, 1864-1868"
Snaketown Site (Ariz.),,[151],651,Snaketown Site (Ariz.)
Snodgrass Small Mound (Ala.),,[151],651,Snodgrass Small Mound (Ala.)
Snohomish Indians,,[150],650,Snohomish Indians
Snohomish language,,[150],650,Snohomish language
Snoqualmie Indian Tribe,,[151],651,Snoqualmie Indian Tribe
Snoqualmie Indians,,[150],650,Snoqualmie Indians
"Snoqualmie Tribe, Washington",,[151],651,"Snoqualmie Tribe, Washington"
Snuneymuxw First Nation,,[151],651,Snuneymuxw First Nation
Snuneymuxw Indians,,[150],650,Snuneymuxw Indians
Sobaipuri Indians,,[150],650,Sobaipuri Indians
"Soboba Band of Luiseno Indians, California",,[151],651,"Soboba Band of Luiseno Indians, California"
Soboba Indian Reservation (Calif.),,[151],651,Soboba Indian Reservation (Calif.)
Social work with Indians,,[150],650,Social work with Indians
Soda Creek First Nation,,[151],651,Soda Creek First Nation
"Sokaogon Chippewa Community, Wisconsin",,[151],651,"Sokaogon Chippewa Community, Wisconsin"
Sokoki Indians,,[150],650,Sokoki Indians
"Solomon's Fork, Battle of, Kan., 1857",,[150],650,"Solomon's Fork, Battle of, Kan., 1857"
